ID,IRR 1,IRR 2,IRR 3,IRR 4,,Count,P_i,biased review,rule deficiencies,overconfidence,other,lack of knowledge,perceptual confusion,strong now wrong,post completion,complexity,selectivity,,difficulties with exponents,,,,,,,,,,
400,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,overconfidence,overconfidence,overconfidence,other,,4,0.50,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,overconfidence,overconfidence,overconfidence,rule deficiencies,,4,0.50,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,perceptual confusion,perceptual confusion,perceptual confusion,perceptual confusion,,4,1.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,rule deficiencies,strong now wrong,rule deficiencies,strong now wrong,,4,0.33,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,lack of knowledge,other,lack of knowledge,strong now wrong,,4,0.17,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,other,overconfidence,other,other,,4,0.50,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,rule deficiencies,rule deficiencies,rule deficiencies,lack of knowledge,,4,0.50,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,post completion,post completion,post completion,post completion,,4,1.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,biased review,rule deficiencies,biased review,biased review,,4,0.50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,biased review,rule deficiencies,biased review,other,,4,0.17,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,biased review,strong now wrong,overconfidence,rule deficiencies,,4,0.00,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,lack of knowledge,lack of knowledge,lack of knowledge,rule deficiencies,,4,0.50,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,lack of knowledge,lack of knowledge,lack of knowledge,biased review,,4,0.50,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,lack of knowledge,lack of knowledge,lack of knowledge,rule deficiencies,,4,0.50,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,rule deficiencies,rule deficiencies,rule deficiencies,biased review,,4,0.50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,complexity,other,complexity,complexity,,4,0.50,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
770,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,lack of knowledge,lack of knowledge,lack of knowledge,selectivity,,4,0.50,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
766,post completion,post completion,post completion,other,,4,0.50,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,complexity,lack of knowledge,lack of knowledge,rule deficiencies,,4,0.17,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,biased review,biased review,biased review,rule deficiencies,,4,0.50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,selectivity,selectivity,selectivity,biased review,,4,0.50,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
209,biased review,lack of knowledge,biased review,biased review,,4,0.50,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,perceptual confusion,rule deficiencies,perceptual confusion,perceptual confusion,,4,0.50,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,post completion,post completion,post completion,post completion,,4,1.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,lack of knowledge,biased review,lack of knowledge,other,,4,0.17,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,lack of knowledge,lack of knowledge,rule deficiencies,selectivity,,4,0.17,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1119,complexity,complexity,complexity,overconfidence,,4,0.50,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
663,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,biased review,other,other,biased review,,4,0.33,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,biased review,biased review,selectivity,biased review,,4,0.50,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
483,rule deficiencies,rule deficiencies,strong now wrong,perceptual confusion,,4,0.17,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,lack of knowledge,other,lack of knowledge,lack of knowledge,,4,0.50,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,post completion,rule deficiencies,rule deficiencies,rule deficiencies,,4,0.50,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,lack of knowledge,lack of knowledge,lack of knowledge,overconfidence,,4,0.50,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,lack of knowledge,other,other,lack of knowledge,,4,0.33,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,lack of knowledge,biased review,overconfidence,rule deficiencies,,4,0.00,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,,biased review,biased review,biased review,,3,1.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,rule deficiencies,perceptual confusion,rule deficiencies,rule deficiencies,,4,0.50,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,lack of knowledge,other,rule deficiencies,lack of knowledge,,4,0.17,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,lack of knowledge,selectivity,lack of knowledge,biased review,,4,0.17,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
414,lack of knowledge,lack of knowledge,lack of knowledge,rule deficiencies,,4,0.50,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,post completion,post completion,post completion,post completion,,4,1.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,complexity,other,complexity,perceptual confusion,,4,0.17,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
841,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,complexity,complexity,complexity,complexity,,4,1.00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,lack of knowledge,lack of knowledge,lack of knowledge,rule deficiencies,,4,0.50,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,biased review,overconfidence,biased review,biased review,,4,0.50,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,complexity,complexity,complexity,biased review,,4,0.50,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
358,rule deficiencies,rule deficiencies,rule deficiencies,other,,4,0.50,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,lack of knowledge,other,lack of knowledge,lack of knowledge,,4,0.50,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,biased review,biased review,biased review,rule deficiencies,,4,0.50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,biased review,biased review,biased review,rule deficiencies,,4,0.50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,biased review,biased review,biased review,rule deficiencies,,4,0.50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,lack of knowledge,lack of knowledge,lack of knowledge,biased review,,4,0.50,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,,other,other,other,,3,1.00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,rule deficiencies,perceptual confusion,rule deficiencies,rule deficiencies,,4,0.50,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,biased review,biased review,biased review,other,,4,0.50,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,perceptual confusion,perceptual confusion,perceptual confusion,perceptual confusion,,4,1.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,strong now wrong,strong now wrong,strong now wrong,strong now wrong,,4,1.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,lack of knowledge,lack of knowledge,biased review,lack of knowledge,,4,0.50,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,rule deficiencies,rule deficiencies,rule deficiencies,rule deficiencies,,4,1.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,other,rule deficiencies,other,other,,4,0.50,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,strong now wrong,strong now wrong,strong now wrong,strong now wrong,,4,1.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,biased review,biased review,lack of knowledge,lack of knowledge,,4,0.33,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,post completion,post completion,post completion,post completion,,4,1.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,complexity,other,complexity,selectivity,,4,0.17,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1080,selectivity,other,other,selectivity,,4,0.33,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
252,biased review,overconfidence,overconfidence,overconfidence,,4,0.50,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,perceptual confusion,perceptual confusion,perceptual confusion,perceptual confusion,,4,1.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,overconfidence,other,overconfidence,complexity,,4,0.17,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,selectivity,other,selectivity,selectivity,,4,0.50,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1079,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,strong now wrong,strong now wrong,strong now wrong,strong now wrong,,4,1.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,selectivity,other,complexity,selectivity,,4,0.17,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
426,biased review,overconfidence,biased review,biased review,,4,0.50,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,other,other,complexity,other,,4,0.50,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,rule deficiencies,rule deficiencies,lack of knowledge,rule deficiencies,,4,0.50,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,rule deficiencies,rule deficiencies,lack of knowledge,rule deficiencies,,4,0.50,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,strong now wrong,strong now wrong,strong now wrong,other,,4,0.50,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,lack of knowledge,overconfidence,overconfidence,lack of knowledge,,4,0.33,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,post completion,rule deficiencies,post completion,biased review,,4,0.17,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,biased review,other,biased review,biased review,,4,0.50,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,strong now wrong,strong now wrong,strong now wrong,strong now wrong,,4,1.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,lack of knowledge,other,rule deficiencies,other,,4,0.17,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,difficulties with exponents,difficulties with exponents,lack of knowledge,difficulties with exponents,,4,0.50,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
233,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,complexity,other,complexity,selectivity,,4,0.17,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1277,other,other,other,overconfidence,,4,0.50,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,lack of knowledge,post completion,lack of knowledge,post completion,,4,0.33,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,post completion,post completion,post completion,post completion,,4,1.00,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,lack of knowledge,rule deficiencies,rule deficiencies,rule deficiencies,,4,0.50,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,rule deficiencies,rule deficiencies,rule deficiencies,lack of knowledge,,4,0.50,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,other,rule deficiencies,other,other,,4,0.50,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,perceptual confusion,perceptual confusion,perceptual confusion,perceptual confusion,,4,1.00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,lack of knowledge,lack of knowledge,lack of knowledge,lack of knowledge,,4,1.00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,biased review,lack of knowledge,lack of knowledge,lack of knowledge,,4,0.50,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,other,other,other,other,,4,1.00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,complexity,overconfidence,complexity,rule deficiencies,,4,0.17,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
198,lack of knowledge,other,lack of knowledge,strong now wrong,,4,0.17,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,biased review,other,other,other,,4,0.50,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,biased review,biased review,biased review,biased review,,4,1.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,p_j,0.24,0.13,0.04,0.15,0.25,0.04,0.04,0.05,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,\bar{P}=:,,0.6951754386,,,,,,,,,,,,,,,,,,,,
,,,,,,,\bar{P}_e = ,,0.17,,,,,,,,,,,,,,,,,,,,
,,,,,,,k = ,,0.6342535511,,,,,,,,,,,,,,,,,,,,